half,segment_id,start_time,entity,source,is_dup_in_match,context
1,0,0.0,stamford bridge,spacy,False,and away we go it's a starry starry night here at stamford bridge so many individual talents and
1,4,25.22,Sturridge,spacy,False,now Sturridge knows all about this place
1,5,30.539999999999996,Sadio Mane,spacy,False,slightly confusing his teammate to Sadio Mane and maybe it was the other way
1,6,34.36,Liverpool,spacy,False,around as expected Liverpool straight out of the blocks
1,8,42.34,Oscar,spacy,False,by Oscar
1,9,54.5,Wijnaldum,spacy,False,and across there was Wijnaldum
1,10,59.0,Gary Cahill,spacy,False,got into a good position and Gary Cahill to be fair to him read it well
1,11,65.82,London,spacy,False,it's been quite a wet 24 hours in the London area
1,14,81.84,Lega Costa,spacy,False,Lega Costa nearly put through there was a space during William who played the
1,14,81.84,William,spacy,False,Lega Costa nearly put through there was a space during William who played the
1,16,95.4,Coutinho Alana,spacy,False,Coutinho Alana
1,17,97.62,Mane,spacy,False,waiting on the right Mane feeding him get it on his left foot and do that sort
1,21,112.76,Haspilicueta,heuristic_gazetteer_fuzz,False,Haspilicueta I think knew that Daniel Sturridge
1,21,112.76,Daniel Sturridge,spacy,False,Haspilicueta I think knew that Daniel Sturridge
1,27,126.88,Henderson,spacy,False,here's Henderson
1,32,141.67999999999998,Liverpool,spacy,True,Liverpool love to play with
1,34,145.82,James Miller,spacy,False,even though James Miller would probably
1,37,151.1,Jürgen Klopp,spacy,False,for Jürgen Klopp he's the number one choice
1,40,157.29999999999998,Liverpool,spacy,True,the way Liverpool gave it in
1,41,159.74,Arsenal,spacy,False,was Arsenal
1,48,174.26,Jürgen Klopp,spacy,True,the results including the one here last season which gave Jürgen Klopp first Premier League win
1,48,174.26,Premier League,spacy,False,the results including the one here last season which gave Jürgen Klopp first Premier League win
1,49,183.34,Sturridge,heuristic_capitalized_non_function,True,Sturridge playing a senior game at Chelsea against Chelsea for the first
1,49,183.34,Chelsea,spacy,False,Sturridge playing a senior game at Chelsea against Chelsea for the first
1,49,183.34,Chelsea,spacy,True,Sturridge playing a senior game at Chelsea against Chelsea for the first
1,50,187.74,Manchester City's,spacy,False,time although we've been calling a only scored here for Manchester City's youth
1,51,192.88,Chelsea,spacy,True,team in a youth cup final to Chelsea here's David Luiz the second time his
1,51,192.88,David Luiz,spacy,False,team in a youth cup final to Chelsea here's David Luiz the second time his
1,52,203.12,Chelsea,spacy,True,stats Chelsea career with a debut at home to Liverpool his point of view it
1,52,203.12,Liverpool,spacy,True,stats Chelsea career with a debut at home to Liverpool his point of view it
1,54,215.86,Chelsea,spacy,True,he's definitely added pace since this Chelsea team constantly play at a fire
1,55,220.5,John Terry,spacy,False,heart for higher John Terry
1,56,224.64000000000001,Louise,spacy,False,mentioning about Louise the strange thing for me that this attack play out
1,57,232.12,Lallana,spacy,False,with Lallana
1,58,237.04000000000002,Leicester,heuristic_capitalized_non_function,False,beautiful goal in that match to ask the least good against Leicester the winner
1,59,242.78,Sam Allardyce,spacy,False,for Sam Allardyce here is Milner forward again down the
1,59,242.78,Milner,heuristic_capitalized_non_function,False,for Sam Allardyce here is Milner forward again down the
1,61,250.24,Mike,spacy,False,Mike was up
1,63,264.1,Chennava Alana,spacy,False,minute in Chennava Alana squeezed it home the big Sam brain started with a
1,63,264.1,Sam,spacy,False,minute in Chennava Alana squeezed it home the big Sam brain started with a
1,65,276.62,Davi,heuristic_capitalized_non_function,False,just going back to Davi Luiz John Terry's shot we know those two can't play
1,65,276.62,Luiz,heuristic_capitalized_non_function,False,just going back to Davi Luiz John Terry's shot we know those two can't play
1,65,276.62,John Terry,spacy,True,just going back to Davi Luiz John Terry's shot we know those two can't play
1,66,280.96,Cale,spacy,False,together it's been proven before I don't think this pair Cale and Luiz were particularly good last time
1,66,280.96,Luiz,heuristic_capitalized_non_function,True,together it's been proven before I don't think this pair Cale and Luiz were particularly good last time
1,67,286.5,Conte,spacy,False,so they're going to have to improve and Conte's got his work cut out in terms of moulding them
1,69,296.37999999999994,Matip,spacy,False,anyway rather sending a jolt of electricity through Matip
1,71,308.86,Belgium,spacy,False,their country Belgium
1,73,312.72,Tebow Couture,spacy,False,to Tebow Couture
1,74,319.9,Belgium,spacy,True,talking of Belgium is in an asshut
1,75,327.17999999999995,Quetta,spacy,False,as for the Quetta
1,76,330.09999999999997,Matip,heuristic_short_segment,True,by Matip
1,77,332.17999999999995,Chelsea,spacy,True,too much of Chelsea
1,79,336.86,David Luiz,spacy,True,David Luiz
1,82,346.09999999999997,Chelsea,spacy,True,Chelsea's build up will be a little slower than Liverpool's
1,82,346.09999999999997,Liverpool,spacy,True,Chelsea's build up will be a little slower than Liverpool's
1,87,364.3,Pasadena,heuristic_capitalized_non_function,False,Pasadena in the USA in July
1,87,364.3,USA,spacy,False,Pasadena in the USA in July
1,87,364.3,July,heuristic_capitalized_non_function,False,Pasadena in the USA in July
1,89,371.02,Chelsea,spacy,True,and Chelsea finished without Cesc Fabregas who eventually got sent off
